Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-08-03 20:53:19",9430,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-08-03 20:20:39",9428,ywraq-new,new,"10× Lamina Galvanizada",10,,10
"2020-08-03 20:04:05",9426,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-08-03 15:22:27",9424,ywraq-new,new,"15× Tubería Estructural",15,,15
"2020-08-03 14:36:09",9422,ywraq-new,new,"30× Teja Zinc Galvanizada y Pintada",30,,30
"2020-08-03 13:33:34",9420,ywraq-new,new,"100× Canal Pecho Paloma",100,,100
"2020-08-03 13:22:13",9418,ywraq-new,new,"1× Laminas Colaborantes",1,,1
"2020-08-03 13:19:55",9416,ywraq-new,new,"70× Teja Zinc Galvanizada y Pintada",70,,70
"2020-08-03 13:19:11",9414,ywraq-new,new,"1× Cemento",1,,0
"2020-08-03 12:19:23",9410,ywraq-new,new,"13× Teja Trapezoidal Pintada",13,,0
"2020-08-03 11:12:37",9406,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-08-03 09:27:02",9404,ywraq-new,new,"1× Lamina Alfajor",1,,1
"2020-08-03 09:19:16",9402,ywraq-new,new,"2× Perfiles en C (Perlines) GR50 y A36.",2,,2
"2020-08-02 23:05:13",9398,ywraq-new,new,"1× Tubería Elíptica y Oval",1,,1
"2020-08-02 21:58:25",9396,ywraq-new,new,"10× Varilla Redonda Lisa",10,,10
"2020-08-02 17:23:26",9394,ywraq-new,new,"1× Varillas Cuadradas",1,,1
"2020-08-02 15:52:24",9392,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-08-02 14:30:22",9390,ywraq-new,new,"1× Escudos y Manijas",1,,1
"2020-08-02 13:50:09",9388,ywraq-new,new,"24× Teja Trapezoidal Pintada",24,,0
"2020-08-02 13:46:24",9386,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-08-02 13:27:37",9384,ywraq-new,new,"1× Viga IPE",1,,1
"2020-08-02 13:20:12",9382,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-08-02 11:38:06",9380,ywraq-new,new,"1× Varilla Redonda Lisa",1,,1
"2020-08-02 10:19:52",9378,ywraq-new,new,"1× Tubería Estructural, 1× Tubería Estructural, 1× Viga IPE, 1× Lamina Alfajor, 1× Canales en U",5,,5
"2020-08-02 10:03:14",9376,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-08-01 20:29:28",9374,ywraq-new,new,"200× Ballestas",200,,200
"2020-08-01 19:07:02",9372,ywraq-new,new,"1× Lamina Alfajor",1,,1
"2020-08-01 18:59:39",9370,ywraq-new,new,"5× Teja Trapezoidal Pintada",5,,0
"2020-08-01 16:47:02",9368,ywraq-new,new,"11× Varillas Cuadradas",11,,11
"2020-08-01 15:25:26",9366,ywraq-new,new,"10× Cemento San Marcos",10,,0
"2020-08-01 14:30:47",9364,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-08-01 13:28:08",9362,ywraq-new,new,"50× Varilla Redonda Lisa",50,,50
"2020-08-01 12:54:17",9358,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-08-01 12:48:53",9356,ywraq-new,new,"60× Teja Termoacústica",60,,60
"2020-08-01 12:47:52",9354,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-08-01 12:00:20",9350,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-08-01 11:59:08",9348,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-08-01 11:45:15",9346,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-08-01 08:37:23",9344,ywraq-new,new,"12× Teja Trapezoidal Pintada",12,,0
"2020-08-01 08:19:54",9342,ywraq-new,new,"2× Tubo Cold Rolled Pasamanos",2,,2
"2020-08-01 08:17:35",9340,ywraq-new,new,"15× Varillas Cuadradas",15,,15
"2020-07-31 21:40:46",9338,ywraq-new,new,"16× Laminas Colaborantes",16,,16
"2020-07-31 20:17:58",9336,ywraq-new,new,"9× Perfiles en C (Perlines) GR50 y A36., 48× Teja Trapezoidal Pintada",57,,9
"2020-07-31 15:47:54",9332,ywraq-new,new,"1× Cemento",1,,0
"2020-07-31 15:44:56",9330,ywraq-new,new,"50× Lamina CR (Cold Rolled)",50,,50
"2020-07-31 15:19:49",9328,ywraq-new,new,"1× Ángulos, 1× Tubería de Cerramiento Galvanizado, 1× Malla Eslabonada, 1× Platina, 1× Malla Electrosoldada Certificada, 1× Malla Electrosoldada Certificada",6,,6
"2020-07-31 15:09:11",9326,ywraq-new,new,"8× Teja Termoacústica",8,,8
"2020-07-31 14:21:58",9324,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-31 12:54:16",9322,ywraq-new,new,"100× Lamina Galvanizada",100,,100
"2020-07-31 10:10:40",9318,ywraq-new,new,"14× Lamina Galvanizada",14,,14
"2020-07-31 09:03:39",9314,ywraq-new,new,"1× Viga IPE, 1× Tubería Estructural",2,,2
"2020-07-31 08:48:36",9312,ywraq-new,new,"15× Tubería Estructural",15,,15
"2020-07-31 00:35:47",9306,ywraq-new,new,"1× Tubería Estructural, 2× Tubería Estructural, 1× Lamina HR (Hot Rolled), 1× Lamina HR (Hot Rolled)",5,,5
"2020-07-31 00:33:21",9304,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-07-30 23:52:57",9302,ywraq-new,new,"230× Lamina CR (Cold Rolled)",230,,230
"2020-07-30 22:34:56",9298,ywraq-new,new,"60× Teja Zinc Galvanizada y Pintada",60,,60
"2020-07-30 21:40:47",9289,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-07-30 21:37:46",9287,ywraq-new,new,"150× Lamina CR (Cold Rolled)",150,,150
"2020-07-30 19:46:43",9285,ywraq-new,new,"100× Teja Zinc Galvanizada y Pintada",100,,100
"2020-07-30 19:26:52",9283,ywraq-new,new,"1× Canales en U, 1× Tubería Cerramiento Negro, 1× Ángulos",3,,3
"2020-07-30 17:53:10",9281,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-07-30 16:40:20",9279,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-07-30 16:09:43",9277,ywraq-new,new,"1× Ballestas",1,,1
"2020-07-30 15:45:21",9275,ywraq-new,new,"3× Lamina Galvanizada, 1× Lamina Galvanizada",4,,4
"2020-07-30 14:48:02",9273,ywraq-new,new,"1× Lamina CR (Cold Rolled), 1× Lamina Galvanizada",2,,2
"2020-07-30 14:35:51",9271,ywraq-new,new,"1× Malla Eslabonada",1,,1
"2020-07-30 14:27:22",9269,ywraq-new,new,"1× Teja Policarbonato",1,,1
"2020-07-30 13:54:18",9267,ywraq-new,new,"1× Ballestas",1,,1
"2020-07-30 13:31:24",9265,ywraq-new,new,"1× Varilla Torsionada",1,,1
"2020-07-30 13:27:23",9263,ywraq-new,new,"1× Teja Termoacústica",1,,1
"2020-07-30 13:23:22",9261,ywraq-new,new,"100× Masillas y Selladores",100,,0
"2020-07-30 13:20:22",9259,ywraq-new,new,"1× Tubería Cerramiento Negro",1,,1
"2020-07-30 12:22:07",9257,ywraq-new,new,"2× Tubería Estructural",2,,2
"2020-07-30 12:16:54",9255,ywraq-new,new,"5× Teja Zinc Galvanizada y Pintada",5,,5
"2020-07-30 11:56:05",9253,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-07-30 09:46:07",9251,ywraq-new,new,"4× Teja Policarbonato",4,,4
"2020-07-30 09:44:18",9249,ywraq-new,new,"10× Caballetes",10,,10
"2020-07-30 09:43:07",9247,ywraq-new,new,"30× Teja Policarbonato",30,,30
"2020-07-30 09:41:44",9245,ywraq-new,new,"30× Teja Termoacústica",30,,30
"2020-07-30 09:40:20",9243,ywraq-new,new,"14× Tubería Estructural",14,,14
"2020-07-30 01:33:37",9241,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-30 00:45:53",9239,ywraq-new,new,"40× Varilla Torsionada",40,,40
"2020-07-29 22:50:51",9237,ywraq-new,new,"20× Tubería Elíptica y Oval",20,,20
"2020-07-29 21:51:18",9235,ywraq-new,new,"22× Teja Zinc Galvanizada y Pintada",22,,22
"2020-07-29 20:49:19",9233,ywraq-new,new,"2× Viga IPE",2,,2
"2020-07-29 20:38:08",9231,ywraq-new,new,"1× Varillas Corrugadas y Chipa",1,,1
"2020-07-29 20:06:33",9229,ywraq-new,new,"7× Tubería Cerramiento Negro",7,,7
"2020-07-29 19:28:08",9227,ywraq-new,new,"1× Varilla Redonda Lisa",1,,1
"2020-07-29 19:22:53",9225,ywraq-new,new,"1× Lamina CR (Cold Rolled)",1,,1
"2020-07-29 18:18:47",9223,ywraq-new,new,"10× Teja Trapezoidal Pintada",10,,0
"2020-07-29 17:01:31",9221,ywraq-new,new,"1× Viga IPE",1,,1
"2020-07-29 16:52:59",9219,ywraq-new,new,"1× Sistema Placa Fácil, 30× Varillas Corrugadas",31,,0
"2020-07-29 16:17:26",9217,ywraq-new,new,"1× Teja Termoacústica",1,,1
"2020-07-29 14:55:47",9215,ywraq-new,new,"21× Perfiles en C (Perlines) GR50 y A36.",21,,21
"2020-07-29 13:17:10",9213,ywraq-new,new,"2× Lamina Alfajor",2,,2
"2020-07-29 12:50:54",9211,ywraq-new,new,"1× Perfiles en C (Perlines) GR50 y A36.",1,,1
"2020-07-29 12:14:51",9209,ywraq-new,new,"7× Teja Zinc Galvanizada y Pintada",7,,7
"2020-07-29 12:14:39",9207,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-29 10:28:41",9205,ywraq-new,new,"30× Teja Galvanizada Master 1000",30,,30
